PrimaryKey;Indikator;Satuan;Kategori;Pengertian;Interpretasi;Fenomena Terakhir;Sumber;SearchIndex;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;;;;;;
Distribusi PDRB Transportasi dan Pergudangan;%Sektor H;persen;LU Dist;;Besarnya sumber pertumbuhan PDB dari sektor perdagangan, hotel dan restoran pada tahun 2008 sebesar 1,2 persen, yang artinya sektor perdagangan, hotel dan restoran memberikan kontribusi sebesar 1,2 persen terhadap nilai PDB pada tahun 2008.; ;Tabel Dinamis BPS Wonogiri;Distribusi PDRB Transportasi dan Pergudangan LU Dist;5,96;5,68;5,52;5,49;5,84;5,98;5,90;6,12;6,29;6,58;4,48;4,63;6,68;7,22;;;;;;;
Distribusi PDRB Penyediaan Akomodasi dan Makan Minum;%Sektor I;persen;LU Dist;;Besarnya sumber pertumbuhan PDB dari sektor perdagangan, hotel dan restoran pada tahun 2008 sebesar 1,2 persen, yang artinya sektor perdagangan, hotel dan restoran memberikan kontribusi sebesar 1,2 persen terhadap nilai PDB pada tahun 2008.; ;Tabel Dinamis BPS Wonogiri;Distribusi PDRB Penyediaan Akomodasi dan Makan Minum LU Dist;2,47;2,40;2,29;2,27;2,27;2,29;2,34;2,36;2,34;2,42;2,39;2,39;2,48;2,64;;;;;;;
Distribusi PDRB Informasi dan Komunikasi;%Sektor J;persen;LU Dist;;Besarnya sumber pertumbuhan PDB dari sektor perdagangan, hotel dan restoran pada tahun 2008 sebesar 1,2 persen, yang artinya sektor perdagangan, hotel dan restoran memberikan kontribusi sebesar 1,2 persen terhadap nilai PDB pada tahun 2008.; ;Tabel Dinamis BPS Wonogiri;Distribusi PDRB Informasi dan Komunikasi LU Dist;0,78;0,79;0,77;0,74;0,75;0,73;0,74;0,84;0,89;0,94;1,10;1,15;1,07;1,09;;;;;;;
Distribusi PDRB Jasa Keuangan dan Asuransi;%Sektor K;persen;LU Dist;;Besarnya sumber pertumbuhan PDB dari sektor perdagangan, hotel dan restoran pada tahun 2008 sebesar 1,2 persen, yang artinya sektor perdagangan, hotel dan restoran memberikan kontribusi sebesar 1,2 persen terhadap nilai PDB pada tahun 2008.; ;Tabel Dinamis BPS Wonogiri;Distribusi PDRB Jasa Keuangan dan Asuransi LU Dist;2,73;2,80;2,93;2,95;2,97;3,01;3,16;3,20;3,24;3,22;3,23;3,23;3,14;3,01;;;;;;;
Distribusi PDRB Real Estat;%Sektor L;persen;LU Dist;;Besarnya sumber pertumbuhan PDB dari sektor perdagangan, hotel dan restoran pada tahun 2008 sebesar 1,2 persen, yang artinya sektor perdagangan, hotel dan restoran memberikan kontribusi sebesar 1,2 persen terhadap nilai PDB pada tahun 2008.; ;Tabel Dinamis BPS Wonogiri;Distribusi PDRB Real Estat LU Dist;0,77;0,77;0,71;0,71;0,73;0,74;0,74;0,75;0,75;0,74;0,74;0,73;0,69;0,67;;;;;;;
Distribusi PDRB Jasa Perusahaan;%Sektor M-N;persen;LU Dist;;Besarnya sumber pertumbuhan PDB dari sektor perdagangan, hotel dan restoran pada tahun 2008 sebesar 1,2 persen, yang artinya sektor perdagangan, hotel dan restoran memberikan kontribusi sebesar 1,2 persen terhadap nilai PDB pada tahun 2008.; ;Tabel Dinamis BPS Wonogiri;Distribusi PDRB Jasa Perusahaan LU Dist;0,31;0,33;0,33;0,36;0,37;0,38;0,41;0,43;0,44;0,46;0,45;0,45;0,45;0,46;;;;;;;
Distribusi PDRB Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib;%Sektor O;persen;LU Dist;;Besarnya sumber pertumbuhan PDB dari sektor perdagangan, hotel dan restoran pada tahun 2008 sebesar 1,2 persen, yang artinya sektor perdagangan, hotel dan restoran memberikan kontribusi sebesar 1,2 persen terhadap nilai PDB pada tahun 2008.; ;Tabel Dinamis BPS Wonogiri;Distribusi PDRB Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib LU Dist;3,28;3,08;3,10;3,07;3,04;3,06;3,04;3,05;2,93;2,90;2,88;2,71;2,55;2,46;;;;;;;
Distribusi PDRB Jasa Pendidikan;%Sektor P;persen;LU Dist;;Besarnya sumber pertumbuhan PDB dari sektor perdagangan, hotel dan restoran pada tahun 2008 sebesar 1,2 persen, yang artinya sektor perdagangan, hotel dan restoran memberikan kontribusi sebesar 1,2 persen terhadap nilai PDB pada tahun 2008.; ;Tabel Dinamis BPS Wonogiri;Distribusi PDRB Jasa Pendidikan LU Dist;3,90;4,57;5,41;5,97;6,31;6,28;6,46;6,67;6,85;7,07;7,10;6,79;6,29;6,33;;;;;;;
Distribusi PDRB Jasa Kesehatan dan Kegiatan Sosial;%Sektor Q;persen;LU Dist;;Besarnya sumber pertumbuhan PDB dari sektor perdagangan, hotel dan restoran pada tahun 2008 sebesar 1,2 persen, yang artinya sektor perdagangan, hotel dan restoran memberikan kontribusi sebesar 1,2 persen terhadap nilai PDB pada tahun 2008.; ;Tabel Dinamis BPS Wonogiri;Distribusi PDRB Jasa Kesehatan dan Kegiatan Sosial LU Dist;0,74;0,79;0,84;0,89;0,93;0,96;0,98;1,02;1,04;1,07;1,20;1,19;1,14;1,14;;;;;;;
Distribusi PDRB Jasa lainnya;%Sektor R-U;persen;LU Dist;;Besarnya sumber pertumbuhan PDB dari sektor perdagangan, hotel dan restoran pada tahun 2008 sebesar 1,2 persen, yang artinya sektor perdagangan, hotel dan restoran memberikan kontribusi sebesar 1,2 persen terhadap nilai PDB pada tahun 2008.; ;Tabel Dinamis BPS Wonogiri;Distribusi PDRB Jasa lainnya LU Dist;1,86;1,80;1,63;1,68;1,77;1,73;1,79;1,85;1,88;1,93;1,92;1,88;1,89;1,95;;;;;;;
Indeks Implisit PDRB Pertanian, Kehutanan, dan Perikanan;Implisit Sektor A;-;Indeks Implisit;Perbandingan antara PDRB atas dasar harga berlaku dengan PDRB atas dasar harga konstan pada periode tertentu.;Nilai indeks implisit lebih dari 100 menunjukkan bahwa telah terjadi kenaikan harga dibandingkan dengan periode tahun dasar.; ;Tabel Dinamis BPS Wonogiri;Indeks Implisit PDRB Pertanian, Kehutanan, dan Perikanan Indeks Implisit;100,00;106,12;111,80;120,93;127,68;132,55;135,40;137,33;141,35;143,64;145,77;145,79;153,40;163,15;;;;;;;
Indeks Implisit PDRB Pertambangan dan Penggalian;Implisit Sektor B;-;Indeks Implisit;;Nilai indeks implisit lebih dari 100 menunjukkan bahwa telah terjadi kenaikan harga dibandingkan dengan periode tahun dasar.; ;Tabel Dinamis BPS Wonogiri;Indeks Implisit PDRB Pertambangan dan Penggalian Indeks Implisit;100,00;103,82;104,52;105,94;118,30;135,90;143,45;147,24;154,91;156,35;159,74;161,23;166,09;170,47;;;;;;;
Indeks Implisit PDRB Industri Pengolahan;Implisit Sektor C;-;Indeks Implisit;;Nilai indeks implisit lebih dari 100 menunjukkan bahwa telah terjadi kenaikan harga dibandingkan dengan periode tahun dasar.; ;Tabel Dinamis BPS Wonogiri;Indeks Implisit PDRB Industri Pengolahan Indeks Implisit;100,00;109,05;112,92;113,54;123,82;130,38;136,23;139,44;143,16;145,84;149,19;154,18;162,50;170,71;;;;;;;
Indeks Implisit PDRB Pengadaan Listrik dan Gas;Implisit Sektor D;-;Indeks Implisit;;Nilai indeks implisit lebih dari 100 menunjukkan bahwa telah terjadi kenaikan harga dibandingkan dengan periode tahun dasar.; ;Tabel Dinamis BPS Wonogiri;Indeks Implisit PDRB Pengadaan Listrik dan Gas Indeks Implisit;100,00;100,84;98,14;92,87;93,18;98,32;103,54;112,61;116,27;116,61;116,51;116,32;117,02;118,83;;;;;;;
Indeks Implisit PDRB Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang;Implisit Sektor E;-;Indeks Implisit;;Nilai indeks implisit lebih dari 100 menunjukkan bahwa telah terjadi kenaikan harga dibandingkan dengan periode tahun dasar.; ;Tabel Dinamis BPS Wonogiri;Indeks Implisit PDRB Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang Indeks Implisit;100,00;100,51;100,18;103,88;106,44;111,36;113,95;115,19;116,34;117,32;117,94;119,20;119,38;122,76;;;;;;;
Indeks Implisit PDRB Konstruksi;Implisit Sektor F;-;Indeks Implisit;;Nilai indeks implisit lebih dari 100 menunjukkan bahwa telah terjadi kenaikan harga dibandingkan dengan periode tahun dasar.; ;Tabel Dinamis BPS Wonogiri;Indeks Implisit PDRB Konstruksi Indeks Implisit;100,00;103,65;107,87;112,02;121,84;127,13;128,56;132,42;138,68;144,46;144,97;149,72;160,14;165,48;;;;;;;
"Indeks Implisit PDRB Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor";Implisit Sektor G;-;Indeks Implisit;;Nilai indeks implisit lebih dari 100 menunjukkan bahwa telah terjadi kenaikan harga dibandingkan dengan periode tahun dasar.; ;Tabel Dinamis BPS Wonogiri;"Indeks Implisit PDRB Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor Indeks Implisit";100,00;103,33;105,60;109,52;112,63;115,94;118,48;121,78;124,63;127,52;128,63;130,54;137,15;141,93;;;;;;;
Indeks Implisit PDRB Transportasi dan Pergudangan;Implisit Sektor H;-;Indeks Implisit;;Nilai indeks implisit lebih dari 100 menunjukkan bahwa telah terjadi kenaikan harga dibandingkan dengan periode tahun dasar.; ;Tabel Dinamis BPS Wonogiri;Indeks Implisit PDRB Transportasi dan Pergudangan Indeks Implisit;100,00;100,06;100,27;101,22;108,22;112,60;113,26;115,26;116,29;117,87;122,12;125,73;132,79;141,97;;;;;;;
Indeks Implisit PDRB Penyediaan Akomodasi dan Makan Minum;Implisit Sektor I;-;Indeks Implisit;;Nilai indeks implisit lebih dari 100 menunjukkan bahwa telah terjadi kenaikan harga dibandingkan dengan periode tahun dasar.; ;Tabel Dinamis BPS Wonogiri;Indeks Implisit PDRB Penyediaan Akomodasi dan Makan Minum Indeks Implisit;100,00;102,48;103,34;108,56;114,91;120,58;124,15;126,42;128,05;130,12;132,08;134,93;137,13;138,77;;;;;;;
Indeks Implisit PDRB Informasi dan Komunikasi;Implisit Sektor J;-;Indeks Implisit;;Nilai indeks implisit lebih dari 100 menunjukkan bahwa telah terjadi kenaikan harga dibandingkan dengan periode tahun dasar.; ;Tabel Dinamis BPS Wonogiri;Indeks Implisit PDRB Informasi dan Komunikasi Indeks Implisit;100,00;101,08;98,04;94,34;90,65;89,11;89,21;92,33;92,20;93,22;93,64;93,95;94,18;94,41;;;;;;;
Indeks Implisit PDRB Jasa Keuangan dan Asuransi;Implisit Sektor K;-;Indeks Implisit;;Nilai indeks implisit lebih dari 100 menunjukkan bahwa telah terjadi kenaikan harga dibandingkan dengan periode tahun dasar.; ;Tabel Dinamis BPS Wonogiri;Indeks Implisit PDRB Jasa Keuangan dan Asuransi Indeks Implisit;100,00;104,69;113,60;120,60;126,78;132,51;136,60;141,53;146,77;149,02;147,97;152,38;160,73;164,95;;;;;;;
Indeks Implisit PDRB Real Estat;Implisit Sektor L;-;Indeks Implisit;;Nilai indeks implisit lebih dari 100 menunjukkan bahwa telah terjadi kenaikan harga dibandingkan dengan periode tahun dasar.; ;Tabel Dinamis BPS Wonogiri;Indeks Implisit PDRB Real Estat Indeks Implisit;100,00;101,39;101,92;103,77;109,23;113,04;114,56;117,35;120,32;122,86;124,05;125,48;126,90;128,38;;;;;;;
Indeks Implisit PDRB Jasa Perusahaan;Implisit Sektor M-N;-;Indeks Implisit;;Nilai indeks implisit lebih dari 100 menunjukkan bahwa telah terjadi kenaikan harga dibandingkan dengan periode tahun dasar.; ;Tabel Dinamis BPS Wonogiri;Indeks Implisit PDRB Jasa Perusahaan Indeks Implisit;100,00;105,11;108,73;115,77;119,38;125,42;130,75;136,08;141,36;144,67;148,10;150,19;157,04;162,11;;;;;;;
Indeks Implisit PDRB Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib;Implisit Sektor O;-;Indeks Implisit;;Nilai indeks implisit lebih dari 100 menunjukkan bahwa telah terjadi kenaikan harga dibandingkan dengan periode tahun dasar.; ;Tabel Dinamis BPS Wonogiri;Indeks Implisit PDRB Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib Indeks Implisit;100,00;101,32;112,49;119,82;128,16;133,26;139,51;146,17;148,18;150,10;151,75;150,95;153,54;155,99;;;;;;;
Indeks Implisit PDRB Jasa Pendidikan;Implisit Sektor P;-;Indeks Implisit;;Nilai indeks implisit lebih dari 100 menunjukkan bahwa telah terjadi kenaikan harga dibandingkan dengan periode tahun dasar.; ;Tabel Dinamis BPS Wonogiri;Indeks Implisit PDRB Jasa Pendidikan Indeks Implisit;100,00;110,85;121,65;134,59;141,05;143,08;147,95;151,50;154,90;158,77;160,24;162,93;164,00;168,49;;;;;;;
Indeks Implisit PDRB Jasa Kesehatan dan Kegiatan Sosial;Implisit Sektor Q;-;Indeks Implisit;;Nilai indeks implisit lebih dari 100 menunjukkan bahwa telah terjadi kenaikan harga dibandingkan dengan periode tahun dasar.; ;Tabel Dinamis BPS Wonogiri;Indeks Implisit PDRB Jasa Kesehatan dan Kegiatan Sosial Indeks Implisit;100,00;105,95;114,27;122,57;127,86;133,62;137,29;139,37;141,81;144,30;149,72;151,16;153,79;158,69;;;;;;;
Indeks Implisit PDRB Jasa lainnya;Implisit Sektor R-U;-;Indeks Implisit;;Nilai indeks implisit lebih dari 100 menunjukkan bahwa telah terjadi kenaikan harga dibandingkan dengan periode tahun dasar.; ;Tabel Dinamis BPS Wonogiri;Indeks Implisit PDRB Jasa lainnya Indeks Implisit;100,00;102,31;103,26;106,52;113,83;117,52;122,95;127,83;128,99;130,23;132,02;133,54;137,87;143,40;;;;;;;
Laju Implisit PDRB Pertanian, Kehutanan, dan Perikanan;LI Sektor A;persen;Laju Implisit;;; ;Tabel Dinamis BPS Wonogiri;Laju Implisit PDRB Pertanian, Kehutanan, dan Perikanan Laju Implisit;12,86;6,12;5,35;8,16;5,59;3,81;2,15;1,43;2,93;1,62;1,48;0,02;5,22;6,36;;;;;;;
Laju Implisit PDRB Pertambangan dan Penggalian;LI Sektor B;persen;Laju Implisit;;; ;Tabel Dinamis BPS Wonogiri;Laju Implisit PDRB Pertambangan dan Penggalian Laju Implisit;4,57;3,82;0,67;1,36;11,67;14,88;5,56;2,64;5,20;0,93;2,17;0,94;3,01;2,63;;;;;;;
Laju Implisit PDRB Industri Pengolahan;LI Sektor C;persen;Laju Implisit;;; ;Tabel Dinamis BPS Wonogiri;Laju Implisit PDRB Industri Pengolahan Laju Implisit;5,77;9,05;3,55;0,55;9,05;5,30;4,49;2,35;2,67;1,87;2,30;3,34;5,40;5,05;;;;;;;
Laju Implisit PDRB Pengadaan Listrik dan Gas;LI Sektor D;persen;Laju Implisit;;; ;Tabel Dinamis BPS Wonogiri;Laju Implisit PDRB Pengadaan Listrik dan Gas Laju Implisit;5,75;0,84;-2,68;-5,38;0,34;5,51;5,31;8,76;3,25;0,30;-0,09;-0,16;0,60;1,55;;;;;;;
Laju Implisit PDRB Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang;LI Sektor E;persen;Laju Implisit;;; ;Tabel Dinamis BPS Wonogiri;Laju Implisit PDRB Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang Laju Implisit;17,29;0,51;-0,33;3,69;2,47;4,62;2,33;1,09;1,00;0,84;0,52;1,07;0,15;2,83;;;;;;;
Laju Implisit PDRB Konstruksi;LI Sektor F;persen;Laju Implisit;;; ;Tabel Dinamis BPS Wonogiri;Laju Implisit PDRB Konstruksi Laju Implisit;8,98;3,65;4,07;3,84;8,77;4,34;1,12;3,01;4,72;4,17;0,36;3,27;6,96;3,33;;;;;;;
"Laju Implisit PDRB Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor";LI Sektor G;persen;Laju Implisit;;; ;Tabel Dinamis BPS Wonogiri;"Laju Implisit PDRB Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor Laju Implisit";11,84;3,33;2,20;3,71;2,84;2,94;2,19;2,78;2,34;2,32;0,86;1,49;5,06;3,48;;;;;;;
Laju Implisit PDRB Transportasi dan Pergudangan;LI Sektor H;persen;Laju Implisit;;; ;Tabel Dinamis BPS Wonogiri;Laju Implisit PDRB Transportasi dan Pergudangan Laju Implisit;1,05;0,06;0,21;0,95;6,91;4,05;0,59;1,77;0,89;1,36;3,61;2,96;5,61;6,91;;;;;;;
Laju Implisit PDRB Penyediaan Akomodasi dan Makan Minum;LI Sektor I;persen;Laju Implisit;;; ;Tabel Dinamis BPS Wonogiri;Laju Implisit PDRB Penyediaan Akomodasi dan Makan Minum Laju Implisit;6,69;2,48;0,84;5,05;5,85;4,94;2,96;1,83;1,29;1,62;1,51;2,15;1,63;1,20;;;;;;;
Laju Implisit PDRB Informasi dan Komunikasi;LI Sektor J;persen;Laju Implisit;;; ;Tabel Dinamis BPS Wonogiri;Laju Implisit PDRB Informasi dan Komunikasi Laju Implisit;1,29;1,08;-3,00;-3,78;-3,90;-1,71;0,12;3,49;-0,14;1,12;0,45;0,33;0,24;0,25;;;;;;;
Laju Implisit PDRB Jasa Keuangan dan Asuransi;LI Sektor K;persen;Laju Implisit;;; ;Tabel Dinamis BPS Wonogiri;Laju Implisit PDRB Jasa Keuangan dan Asuransi Laju Implisit;6,50;4,69;8,51;6,16;5,13;4,52;3,09;3,61;3,70;1,53;-0,71;2,98;5,48;2,63;;;;;;;
Laju Implisit PDRB Real Estat;LI Sektor L;persen;Laju Implisit;;; ;Tabel Dinamis BPS Wonogiri;Laju Implisit PDRB Real Estat Laju Implisit;4,04;1,39;0,53;1,81;5,26;3,50;1,34;2,43;2,54;2,11;0,97;1,15;1,13;1,16;;;;;;;
Laju Implisit PDRB Jasa Perusahaan;LI Sektor M-N;persen;Laju Implisit;;; ;Tabel Dinamis BPS Wonogiri;Laju Implisit PDRB Jasa Perusahaan Laju Implisit;6,66;5,11;3,44;6,47;3,12;5,07;4,25;4,08;3,87;2,34;2,37;1,41;4,56;3,23;;;;;;;
Laju Implisit PDRB Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib;LI Sektor O;persen;Laju Implisit;;; ;Tabel Dinamis BPS Wonogiri;Laju Implisit PDRB Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib Laju Implisit;6,66;1,32;11,02;6,52;6,96;3,98;4,70;4,77;1,37;1,30;1,10;-0,53;1,71;1,60;;;;;;;
Laju Implisit PDRB Jasa Pendidikan;LI Sektor P;persen;Laju Implisit;;; ;Tabel Dinamis BPS Wonogiri;Laju Implisit PDRB Jasa Pendidikan Laju Implisit;-1,61;10,85;9,74;10,64;4,80;1,44;3,41;2,40;2,24;2,50;0,93;1,68;0,65;2,74;;;;;;;
Laju Implisit PDRB Jasa Kesehatan dan Kegiatan Sosial;LI Sektor Q;persen;Laju Implisit;;; ;Tabel Dinamis BPS Wonogiri;Laju Implisit PDRB Jasa Kesehatan dan Kegiatan Sosial Laju Implisit;-1,61;5,95;7,86;7,26;4,32;4,50;2,75;1,51;1,76;1,75;3,76;0,96;1,74;3,19;;;;;;;
Laju Implisit PDRB Jasa lainnya;LI Sektor R-U;persen;Laju Implisit;;; ;Tabel Dinamis BPS Wonogiri;Laju Implisit PDRB Jasa lainnya Laju Implisit;3,27;2,31;0,93;3,16;6,86;3,24;4,63;3,96;0,91;0,97;1,37;1,15;3,25;4,01;;;;;;;
PDRB Pengeluaran Konsumsi Rumah Tangga ADHB;Kons. RT ADHB;miliar rupiah;Pengeluaran ADHB;Nilai tambah bruto atas barang dan jasa yang diproduksi di suatu wilayah kabupaten/kota berdasar pengeluaran, di mana barang dan jasa dihitung menggunakan harga yang berlaku pada waktu itu.;; ;Tabel Dinamis BPS Wonogiri;PDRB Pengeluaran Konsumsi Rumah Tangga ADHB Pengeluaran ADHB;9.775,53;10.796,91;11.977,41;13.004,96;14.335,41;15.470,66;16.534,46;17.818,36;19.065,50;20.431,06;20.608,08;21.645,46;23.859,83;26.319,43;;;;;;;
PDRB Pengeluaran Konsumsi Lembaga Swasta Nirlaba ADHB;Kons. LNPRT ADHB;miliar rupiah;Pengeluaran ADHB;;; ;Tabel Dinamis BPS Wonogiri;PDRB Pengeluaran Konsumsi Lembaga Swasta Nirlaba ADHB Pengeluaran ADHB;265,09;285,22;324,80;366,40;424,23;450,33;485,23;521,30;561,07;633,93;622,17;656,11;748,19;844,36;;;;;;;
PDRB Pengeluaran Konsumsi Pemerintah ADHB;Kons. Pemerintah ADHB;miliar rupiah;Pengeluaran ADHB;;; ;Tabel Dinamis BPS Wonogiri;PDRB Pengeluaran Konsumsi Pemerintah ADHB Pengeluaran ADHB;1.090,95;1.228,47;1.397,46;1.573,87;1.751,23;1.915,95;1.983,77;2.102,32;2.180,59;2.292,77;2.224,18;2.256,91;2.313,54;2.453,68;;;;;;;
PDRB Pengeluaran Pembentukan Modal Tetap Bruto ADHB;PMTB ADHB;miliar rupiah;Pengeluaran ADHB;;; ;Tabel Dinamis BPS Wonogiri;PDRB Pengeluaran Pembentukan Modal Tetap Bruto ADHB Pengeluaran ADHB;2.505,56;2.863,67;3.421,88;3.736,32;4.077,55;4.478,00;4.850,85;5.269,36;5.746,87;6.381,78;6.115,10;6.544,43;6.969,74;7.575,35;;;;;;;
PDRB Pengeluaran Perubahan Inventori ADHB;Inventori ADHB;miliar rupiah;Pengeluaran ADHB;;; ;Tabel Dinamis BPS Wonogiri;PDRB Pengeluaran Perubahan Inventori ADHB Pengeluaran ADHB;117,65;593,57;950,58;728,94;706,99;-188,98;-48,10;54,16;105,17;123,31;183,31;145,44;167,76;184,63;;;;;;;
PDRB Pengeluaran Net Ekspor Daerah ADHB;Net Ekspor ADHB;miliar rupiah;Pengeluaran ADHB;;; ;Tabel Dinamis BPS Wonogiri;PDRB Pengeluaran Net Ekspor Daerah ADHB Pengeluaran ADHB;-444,21;-1.261,36;-2.048,06;-1.769,50;-1.627,17;-540,48;-476,83;-661,16;-522,58;-817,94;-586,31;-666,90;-366,86;-434,80;;;;;;;
PDRB Pengeluaran Konsumsi Rumah Tangga ADHK;Kons. RT ADHK;miliar rupiah;Pengeluaran ADHK;Nilai tambah bruto barang dan jasa yang diproduksi di suatu wilayah kabupaten/kota berdasar pengeluaran, di mana barang dan jasa dihitung pada harga tahun dasar. Saat ini, penghitungan PDRB atas dasar harga konstan menggunakan harga tahun 2010 sebagai tahun dasar.;; ;Tabel Dinamis BPS Wonogiri;PDRB Pengeluaran Konsumsi Rumah Tangga ADHK Pengeluaran ADHK;9.775,53;10.257,31;10.748,24;11.175,64;11.702,87;12.223,43;12.755,22;13.408,44;14.077,38;14.777,79;14.645,29;15.140,32;16.031,81;17.022,17;;;;;;;
PDRB Pengeluaran Konsumsi Lembaga Swasta Nirlaba ADHK;Kons. LNPRT ADHK;miliar rupiah;Pengeluaran ADHK;;; ;Tabel Dinamis BPS Wonogiri;PDRB Pengeluaran Konsumsi Lembaga Swasta Nirlaba ADHK Pengeluaran ADHK;265,09;275,35;290,56;303,62;328,21;321,63;333,95;347,54;365,77;404,49;390,06;399,43;422,87;459,84;;;;;;;
PDRB Pengeluaran Konsumsi Pemerintah ADHK;Kons. Pemerintah ADHK;miliar rupiah;Pengeluaran ADHK;;; ;Tabel Dinamis BPS Wonogiri;PDRB Pengeluaran Konsumsi Pemerintah ADHK Pengeluaran ADHK;1.090,95;1.122,96;1.177,54;1.249,11;1.292,12;1.317,55;1.323,80;1.352,39;1.379,47;1.436,38;1.374,36;1.365,79;1.377,95;1.418,15;;;;;;;
PDRB Pengeluaran Pembentukan Modal Tetap Bruto ADHK;PMTB ADHK;miliar rupiah;Pengeluaran ADHK;;; ;Tabel Dinamis BPS Wonogiri;PDRB Pengeluaran Pembentukan Modal Tetap Bruto ADHK Pengeluaran ADHK;2.505,56;2.735,00;3.123,57;3.260,41;3.281,08;3.408,23;3.560,39;3.818,79;4.019,97;4.201,38;4.007,86;4.248,65;4.279,11;4.553,05;;;;;;;
PDRB Pengeluaran Perubahan Inventori ADHK;Inventori ADHK;miliar rupiah;Pengeluaran ADHK;;; ;Tabel Dinamis BPS Wonogiri;PDRB Pengeluaran Perubahan Inventori ADHK Pengeluaran ADHK;117,65;636,39;635,42;335,29;216,63;-47,78;-28,83;48,15;89,70;117,80;221,58;171,37;191,63;201,65;;;;;;;
PDRB Pengeluaran Net Ekspor Daerah ADHK;Net Ekspor ADHK;miliar rupiah;Pengeluaran ADHK;;; ;Tabel Dinamis BPS Wonogiri;PDRB Pengeluaran Net Ekspor Daerah ADHK Pengeluaran ADHK;-444,21;-1.240,30;-1.370,25;-1.020,80;-713,12;-245,86;-75,39;-156,36;-95,26;-81,63;-76,01;-74,40;145,26;-87,98;;;;;;;
Laju Pertumbuhan PDRB Pengeluaran Konsumsi Rumah Tangga;LP Kons. RT;persen;Pengeluaran LP;Suatu indikator ekonomi makro yang digunakan untuk melihat perubahan produktivitas berdasarkan pada perkembangan volume produksi barang ataupun jasa berdasar pengeluaran. Pengukurannya menggunakan data Produk Domestik Regional Bruto (PDRB) atas dasar harga konstan.;Pertumbuhan yang positif menunjukkan adanya kenaikan produksi barang dan jasa akhir berdasar komponen pengeluaran ini, Sebaliknya, pertumbuhan negatif menunjukkan kontraksi/penurunan produksi. Pertumbuhan melambat diartikan jika pertumbuhan periode t lebih kecil dari pertumbuhan periode t-1; ;Tabel Dinamis BPS Wonogiri;Laju Pertumbuhan PDRB Pengeluaran Konsumsi Rumah Tangga Pengeluaran LP;;4,93;4,79;3,98;4,72;4,45;4,35;5,12;4,99;4,98;-0,90;3,38;5,89;6,18;;;;;;;
Laju Pertumbuhan PDRB Pengeluaran Konsumsi Lembaga Swasta Nirlaba;LP Kons. LNPRT;persen;Pengeluaran LP;;Pertumbuhan yang positif menunjukkan adanya kenaikan produksi barang dan jasa akhir berdasar komponen pengeluaran ini, Sebaliknya, pertumbuhan negatif menunjukkan kontraksi/penurunan produksi. Pertumbuhan melambat diartikan jika pertumbuhan periode t lebih kecil dari pertumbuhan periode t-1; ;Tabel Dinamis BPS Wonogiri;Laju Pertumbuhan PDRB Pengeluaran Konsumsi Lembaga Swasta Nirlaba Pengeluaran LP;;3,87;5,52;4,50;8,10;-2,01;3,83;4,07;5,24;10,59;-3,57;2,40;5,87;8,74;;;;;;;
Laju Pertumbuhan PDRB Pengeluaran Konsumsi Pemerintah;LP Kons. Pemerintah;persen;Pengeluaran LP;;Pertumbuhan yang positif menunjukkan adanya kenaikan produksi barang dan jasa akhir berdasar komponen pengeluaran ini, Sebaliknya, pertumbuhan negatif menunjukkan kontraksi/penurunan produksi. Pertumbuhan melambat diartikan jika pertumbuhan periode t lebih kecil dari pertumbuhan periode t-1; ;Tabel Dinamis BPS Wonogiri;Laju Pertumbuhan PDRB Pengeluaran Konsumsi Pemerintah Pengeluaran LP;;2,93;4,86;6,08;3,44;1,97;0,47;2,16;2,00;4,13;-4,32;-0,62;0,89;2,92;;;;;;;
Laju Pertumbuhan PDRB Pengeluaran Pembentukan Modal Tetap Bruto;LP PMTB;persen;Pengeluaran LP;;Pertumbuhan yang positif menunjukkan adanya kenaikan produksi barang dan jasa akhir berdasar komponen pengeluaran ini, Sebaliknya, pertumbuhan negatif menunjukkan kontraksi/penurunan produksi. Pertumbuhan melambat diartikan jika pertumbuhan periode t lebih kecil dari pertumbuhan periode t-1; ;Tabel Dinamis BPS Wonogiri;Laju Pertumbuhan PDRB Pengeluaran Pembentukan Modal Tetap Bruto Pengeluaran LP;;9,16;14,21;4,38;0,63;3,88;4,46;7,26;5,27;4,51;-4,61;6,01;0,72;6,40;;;;;;;
